Order ID,Sales,Ship Date
CA-2019-152156,261.96,11-11-2019
CA-2019-152156,731.94,11-11-2019
CA-2019-138688,14.62,16-06-2019
US-2018-108966,957.5775,18-10-2018
US-2018-108966,22.368,18-10-2018
CA-2017-115812,48.86,14-06-2017
CA-2017-115812,7.28,14-06-2017
CA-2017-115812,907.152,14-06-2017
CA-2017-115812,18.504,14-06-2017
CA-2017-115812,114.9,14-06-2017
CA-2017-115812,1706.184,14-06-2017
CA-2017-115812,911.424,14-06-2017
CA-2020-114412,15.552,20-04-2020
CA-2019-161389,407.976,10-12-2019
US-2018-118983,68.81,26-11-2018
US-2018-118983,2.544,26-11-2018
CA-2017-105893,665.88,18-11-2017
CA-2017-167164,55.5,15-05-2017
CA-2017-143336,8.56,01-09-2017
CA-2017-143336,213.48,01-09-2017
CA-2017-143336,22.72,01-09-2017
CA-2019-137330,19.46,13-12-2019
CA-2019-137330,60.34,13-12-2019
US-2020-156909,71.372,18-07-2020
CA-2018-106320,1044.63,30-09-2018
CA-2019-121755,11.648,20-01-2019
CA-2019-121755,90.57,20-01-2019
US-2018-150630,3083.43,21-09-2018
US-2018-150630,9.618,21-09-2018
US-2018-150630,124.2,21-09-2018
US-2018-150630,3.264,21-09-2018
US-2018-150630,86.304,21-09-2018
US-2018-150630,6.858,21-09-2018
US-2018-150630,15.76,21-09-2018
CA-2020-107727,29.472,23-10-2020
CA-2019-117590,1097.544,10-12-2019
CA-2019-117590,190.92,10-12-2019
CA-2018-117415,113.328,31-12-2018
CA-2018-117415,532.3992,31-12-2018
CA-2018-117415,212.058,31-12-2018
CA-2018-117415,371.168,31-12-2018
CA-2020-120999,147.168,15-09-2020
CA-2019-101343,77.88,22-07-2019
CA-2020-139619,95.616,23-09-2020
CA-2019-118255,45.98,13-03-2019
CA-2019-118255,17.46,13-03-2019
CA-2017-146703,211.96,25-10-2017
CA-2019-169194,45,25-06-2019
CA-2019-169194,21.8,25-06-2019
CA-2018-115742,38.22,22-04-2018
CA-2018-115742,75.18,22-04-2018
CA-2018-115742,6.16,22-04-2018
CA-2018-115742,89.99,22-04-2018
CA-2019-105816,15.26,17-12-2019
CA-2019-105816,1029.95,17-12-2019
CA-2019-111682,208.56,18-06-2019
CA-2019-111682,32.4,18-06-2019
CA-2019-111682,319.41,18-06-2019
CA-2019-111682,14.56,18-06-2019
CA-2019-111682,30,18-06-2019
CA-2019-111682,48.48,18-06-2019
CA-2019-111682,1.68,18-06-2019
CA-2018-135545,13.98,30-11-2018
CA-2018-135545,25.824,30-11-2018
CA-2018-135545,146.73,30-11-2018
CA-2018-135545,79.76,30-11-2018
US-2018-164175,213.115,05-05-2018
CA-2017-106376,1113.024,10-12-2017
CA-2017-106376,167.968,10-12-2017
CA-2019-119823,75.88,06-06-2019
CA-2019-106075,4.616,23-09-2019
CA-2020-114440,19.05,17-09-2020
US-2018-134026,831.936,02-05-2018
US-2018-134026,97.04,02-05-2018
US-2018-134026,72.784,02-05-2018
US-2020-118038,1.248,11-12-2020
US-2020-118038,9.708,11-12-2020
US-2020-118038,27.24,11-12-2020
US-2017-147606,19.3,01-12-2017
CA-2019-127208,208.16,15-06-2019
CA-2019-127208,16.74,15-06-2019
CA-2017-139451,14.9,16-10-2017
CA-2017-139451,21.39,16-10-2017
CA-2018-149734,200.984,08-09-2018
US-2020-119662,230.376,16-11-2020
CA-2020-140088,301.96,30-05-2020
CA-2020-155558,19.99,02-11-2020
CA-2020-155558,6.16,02-11-2020
CA-2019-159695,158.368,10-04-2019
CA-2019-109806,20.1,22-09-2019
CA-2019-109806,73.584,22-09-2019
CA-2019-109806,6.48,22-09-2019
CA-2018-149587,12.96,05-02-2018
CA-2018-149587,53.34,05-02-2018
CA-2018-149587,32.96,05-02-2018
US-2020-109484,5.682,12-11-2020
CA-2020-161018,96.53,11-11-2020
CA-2020-157833,51.312,20-06-2020
CA-2019-149223,77.88,11-09-2019
CA-2019-158568,64.624,02-09-2019
CA-2019-158568,95.976,02-09-2019
CA-2019-158568,1.788,02-09-2019
CA-2019-129903,23.92,04-12-2019
US-2018-156867,238.896,17-11-2018
US-2018-156867,102.36,17-11-2018
US-2018-156867,36.882,17-11-2018
CA-2020-119004,74.112,28-11-2020
CA-2020-119004,27.992,28-11-2020
CA-2020-119004,3.304,28-11-2020
CA-2018-129476,339.96,20-10-2018
CA-2020-146780,41.96,30-12-2020
CA-2019-128867,75.96,10-11-2019
CA-2019-128867,27.24,10-11-2019
CA-2017-115259,40.096,27-08-2017
CA-2017-115259,4.72,27-08-2017
CA-2017-115259,23.976,27-08-2017
CA-2017-115259,130.464,27-08-2017
CA-2018-110457,787.53,06-03-2018
US-2018-136476,157.794,10-04-2018
CA-2019-103730,47.04,15-06-2019
CA-2019-103730,30.84,15-06-2019
CA-2019-103730,226.56,15-06-2019
CA-2019-103730,115.02,15-06-2019
CA-2019-103730,68.04,15-06-2019
US-2017-152030,600.558,28-12-2017
US-2017-134614,617.7,25-09-2017
US-2020-107272,2.388,12-11-2020
US-2020-107272,243.992,12-11-2020
US-2019-125969,81.424,10-11-2019
US-2019-125969,238.56,10-11-2019
US-2020-164147,59.97,05-02-2020
US-2020-164147,78.304,05-02-2020
US-2020-164147,21.456,05-02-2020
CA-2019-145583,20.04,19-10-2019
CA-2019-145583,35.44,19-10-2019
CA-2019-145583,11.52,19-10-2019
CA-2019-145583,4.02,19-10-2019
CA-2019-145583,76.176,19-10-2019
CA-2019-145583,65.88,19-10-2019
CA-2019-145583,43.12,19-10-2019
CA-2019-110366,82.8,07-09-2019
CA-2020-106180,8.82,23-09-2020
CA-2020-106180,10.86,23-09-2020
CA-2020-106180,143.7,23-09-2020
CA-2020-155376,839.43,27-12-2020
CA-2018-110744,671.93,12-09-2018
CA-2017-110072,93.888,28-10-2017
CA-2019-114489,384.45,09-12-2019
CA-2019-114489,149.97,09-12-2019
CA-2019-114489,1951.84,09-12-2019
CA-2019-114489,171.55,09-12-2019
CA-2019-158834,157.92,16-03-2019
CA-2019-158834,203.184,16-03-2019
CA-2018-124919,58.38,02-06-2018
CA-2018-124919,105.52,02-06-2018
CA-2018-124919,80.88,02-06-2018
CA-2018-118948,6.63,03-06-2018
CA-2017-104269,457.568,06-03-2017
CA-2019-114104,14.62,24-11-2019
CA-2019-114104,944.93,24-11-2019
CA-2019-162733,5.98,12-05-2019
CA-2018-119697,54.384,31-12-2018
CA-2019-154508,28.4,20-11-2019
CA-2019-113817,27.68,11-11-2019
CA-2017-139892,9.936,12-09-2017
CA-2017-139892,8159.952,12-09-2017
CA-2017-139892,275.928,12-09-2017
CA-2017-139892,1740.06,12-09-2017
CA-2017-139892,32.064,12-09-2017
CA-2017-139892,177.98,12-09-2017
CA-2017-139892,143.976,12-09-2017
CA-2017-118962,20.94,09-08-2017
CA-2017-118962,110.96,09-08-2017
CA-2017-118962,340.144,09-08-2017
US-2017-100853,52.448,19-09-2017
US-2017-100853,20.16,19-09-2017
US-2020-152366,97.264,25-04-2020
US-2018-101511,396.802,23-11-2018
US-2018-101511,15.88,23-11-2018
CA-2018-137225,3.28,19-12-2018
CA-2017-166191,24.816,09-12-2017
CA-2017-166191,408.744,09-12-2017
CA-2017-158274,503.96,24-11-2017
CA-2017-158274,149.95,24-11-2017
CA-2017-158274,29,24-11-2017
CA-2019-105018,7.16,02-12-2019
CA-2017-123260,176.8,30-08-2017
CA-2019-157000,37.224,22-07-2019
CA-2019-157000,20.016,22-07-2019
CA-2018-102281,899.136,14-10-2018
CA-2018-102281,71.76,14-10-2018
CA-2018-102281,51.84,14-10-2018
CA-2018-102281,626.352,14-10-2018
CA-2018-102281,19.9,14-10-2018
CA-2018-131457,14.28,06-11-2018
CA-2017-140004,7.408,25-03-2017
CA-2017-140004,6.048,25-03-2017
CA-2020-107720,46.26,13-11-2020
US-2020-124303,2.946,13-07-2020
US-2020-124303,16.056,13-07-2020
CA-2020-105074,21.744,29-06-2020
CA-2017-133690,218.75,05-08-2017
CA-2017-133690,2.6,05-08-2017
US-2020-116701,66.284,21-12-2020
CA-2020-126382,35.168,07-06-2020
CA-2020-108329,444.768,14-12-2020
CA-2020-135860,83.92,07-12-2020
CA-2020-135860,131.98,07-12-2020
CA-2020-135860,15.92,07-12-2020
CA-2020-135860,52.29,07-12-2020
CA-2020-135860,91.99,07-12-2020
CA-2018-101007,20.8,13-02-2018
CA-2018-146262,23.68,09-01-2018
CA-2018-146262,452.45,09-01-2018
CA-2018-146262,62.982,09-01-2018
CA-2018-146262,1188,09-01-2018
CA-2018-146262,89.584,09-01-2018
CA-2019-130162,93.06,01-11-2019
CA-2019-130162,302.376,01-11-2019
CA-2018-169397,5.584,27-12-2018
CA-2018-169397,22.704,27-12-2018
CA-2018-169397,19.776,27-12-2018
CA-2018-169397,72.704,27-12-2018
CA-2018-169397,479.988,27-12-2018
CA-2018-169397,27.168,27-12-2018
CA-2018-163055,2.2,16-08-2018
CA-2018-163055,622.45,16-08-2018
CA-2018-163055,21.98,16-08-2018
US-2018-145436,161.568,04-03-2018
US-2018-145436,389.696,04-03-2018
US-2017-156216,18.648,17-09-2017
US-2020-100930,233.86,12-04-2020
US-2020-100930,620.6145,12-04-2020
US-2020-100930,5.328,12-04-2020
US-2020-100930,258.072,12-04-2020
US-2020-100930,617.976,12-04-2020
CA-2020-160514,10.56,16-11-2020
CA-2019-157749,25.92,09-06-2019
CA-2019-157749,419.68,09-06-2019
CA-2019-157749,11.688,09-06-2019
CA-2019-157749,31.984,09-06-2019
CA-2019-157749,177.225,09-06-2019
CA-2019-157749,4.044,09-06-2019
CA-2019-157749,7.408,09-06-2019
CA-2017-131926,2001.86,06-06-2017
CA-2017-131926,166.72,06-06-2017
CA-2017-131926,47.88,06-06-2017
CA-2017-131926,1503.25,06-06-2017
CA-2017-131926,25.92,06-06-2017
CA-2019-154739,321.568,15-12-2019
CA-2019-145625,7.61,17-09-2019
CA-2019-145625,3347.37,17-09-2019
CA-2019-146941,80.58,13-12-2019
CA-2019-146941,361.92,13-12-2019
US-2018-159982,12.132,04-12-2018
US-2018-159982,82.368,04-12-2018
US-2018-159982,53.92,04-12-2018
US-2018-159982,647.904,04-12-2018
CA-2020-163139,20.37,03-12-2020
CA-2020-163139,221.55,03-12-2020
CA-2020-163139,17.52,03-12-2020
US-2020-155299,1.624,12-06-2020
US-2017-106992,3059.982,21-09-2017
US-2017-106992,2519.958,21-09-2017
CA-2019-125318,328.224,13-06-2019
CA-2018-155040,79.9,15-11-2018
CA-2020-136826,14.016,20-06-2020
CA-2019-111010,7.56,28-01-2019
US-2020-145366,37.208,13-12-2020
